source,name,primary_language,all_languages,classification,antipatterns,last_activity,stars_or_commits,forks,description
github:hyperpolymath,core-network-outpost,Shell,"Shell",DONE,NONE,2026-07-15T18:06:52Z,1,0,"Reproducible self-hosted network estate  Raspberry Pi → x86 N100: AdGuard Home DNS sinkhole  CUPS/AirPrint  nftables firewall  Dynu dynamic DNS  and CAKE traffic-shaping tuned for low jitter/ping/packet-loss (BoJ control plane on the roadmap). Digest-pinned  EC/PQC-hardened  maintainer-gated bumps."
github:hyperpolymath,edge-shaper,Shell,"Shell",ARCHIVED,NONE,2026-07-15T17:01:54Z,0,0,"Retired — folded into hyperpolymath/core-network-outpost (see the edge-shaper/ subdir)"
github:hyperpolymath,manifesto,Shell,"Scheme Shell Just",DONE,NONE,2026-07-15T16:07:20Z,2,0,"The Metaprogramming Turn — Jonathan's developer manifesto"
github:hyperpolymath,epistemic-types,Agda,"Just Agda Nickel Scheme",DONE,NONE,2026-07-15T16:07:18Z,2,0,""
github:hyperpolymath,rsr-template-repo-experiment,Idris,"Shell Idris",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T16:06:27Z,1,0,"Experiment + review workspace for the RSR template repo (RSR-TR review reports  evaluation rubric  tests/benches)"
github:hyperpolymath,universal-extension-format,Nickel,"Scheme Nickel Zig Idris Shell Just",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T12:09:51Z,2,0,"Universal Extension Format - One source  all platforms (browsers  IDEs  CMS). Formally verified compile-to-many pattern."
github:hyperpolymath,Cliodynamics.jl,Julia,"Scheme Nickel Julia Zig Idris Shell Just",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T12:09:48Z,2,0,"Julia package: Cliodynamics"
github:hyperpolymath,Cliometrics.jl,Julia,"Scheme Nickel Julia Zig Idris Shell Just",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T09:28:34Z,2,0,"Julia package: Cliometrics"
github:hyperpolymath,Axiology.jl,Julia,"Scheme Nickel Zig Julia Shell Just",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T07:00:01Z,2,0,"Julia package: Axiology"
github:hyperpolymath,http-capability-gateway,Elixir,"Just Elixir Dockerfile Zig Idris Scheme Shell Nickel CUE",DONE,NONE,2026-07-14T23:51:08Z,2,0,"Policy-driven HTTP governance layer enforcing declarative verb exposure control"
github:hyperpolymath,svalinn,JavaScript,"Just Shell JavaScript TypeScript HTML CSS Scheme Nickel CUE Rust Dockerfile",MIGRATE,DENO_NOT_BUN,2026-07-14T23:49:43Z,2,0,"Svalinn — protective security shield"
github:hyperpolymath,universal-chat-extractor,Idris,"Shell Just Nickel Zig Idris Scheme",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-14T14:53:26Z,2,0,"Universal chat extraction tool"
